"caminho","formato","objetivo","concurso","disciplina","total","válidas","inválidas","únicas","duplicadas","sem enunciado","sem resposta","sem alternativas","erro estrutura","erro parser","mock","oficial","autoral","extraída","importada"
"src/data/apostilas/legislacao-penal-especial.js","JS","OAB","","Direito Penal","280","40","240","20","20","0","240","0","0","0","0","0","280","0","0"
"src/data/apostilas/linguagens-enem.js","JS","ENEM","","","260","20","240","10","10","0","180","60","0","0","0","0","260","0","0"
"src/data/apostilas/mapas-mentais-textuais-disciplina.js","JS","OAB","","Ética Profissional","260","40","220","20","20","0","160","60","0","0","0","0","260","0","0"
"src/data/apostilas/matematica-basica.js","JS","OAB","","Ética Profissional","280","40","240","20","20","0","240","0","0","0","0","0","280","0","0"
"src/data/apostilas/matematica-enem.js","JS","ENEM","","Raciocínio Lógico-Matemático","260","22","238","11","11","0","180","58","0","0","0","0","260","0","0"
"src/data/apostilas/matematica-raciocinio-logico-avancado.js","JS","OAB","","Ética Profissional","260","48","212","23","25","0","40","172","0","0","0","0","260","0","0"
"src/data/apostilas/oab-1fase-direito-administrativo.js","JS","OAB","","Direito Constitucional","260","40","220","20","20","0","160","60","0","0","0","260","260","0","0"
"src/data/apostilas/oab-1fase-direito-civil.js","JS","OAB","","Direito Constitucional","260","40","220","20","20","0","160","60","0","0","0","260","260","0","0"
"src/data/apostilas/oab-1fase-direito-constitucional.js","JS","OAB","","Direito Constitucional","260","40","220","20","20","0","160","60","0","0","0","260","260","0","0"
"src/data/apostilas/oab-1fase-direito-penal.js","JS","OAB","","Direito Constitucional","260","40","220","20","20","0","160","60","0","0","0","260","260","0","0"
"src/data/apostilas/oab-1fase-etica-comentada.js","JS","OAB","","Direito Constitucional","260","40","220","20","20","0","160","60","0","0","0","260","260","0","0"
"src/data/apostilas/oab-1fase-processo-civil.js","JS","OAB","","Direito Constitucional","260","40","220","20","20","0","160","60","0","0","0","260","260","0","0"
"src/data/apostilas/oab-1fase-processo-penal.js","JS","OAB","","Direito Constitucional","260","40","220","20","20","0","160","60","0","0","0","260","260","0","0"
"src/data/apostilas/oab-1fase-simulado-completo.js","JS","OAB","","Direito Constitucional","260","40","220","20","20","0","160","60","0","0","0","260","260","0","0"
"src/data/apostilas/oab-1fase-trabalho-processo-trabalho.js","JS","OAB","","Direito Constitucional","260","40","220","20","20","0","160","60","0","0","0","260","260","0","0"
"src/data/apostilas/oab-2fase-espelhos-correcao.js","JS","OAB","","Direito Constitucional","260","40","220","20","20","0","160","60","0","0","0","260","260","0","0"
"src/data/apostilas/oab-2fase-pecas-praticas.js","JS","OAB","","Direito Constitucional","260","44","216","21","23","0","160","56","0","0","0","260","260","0","0"
"src/data/apostilas/oab-2fase-treino-discursivas.js","JS","OAB","","Direito Constitucional","260","40","220","20","20","0","160","60","0","0","0","260","260","0","0"
"src/data/apostilas/plano-estudo-por-objetivo.js","JS","OAB","","Ética Profissional","260","42","218","21","21","0","160","58","0","0","0","0","260","0","0"
"src/data/apostilas/pmma-caderno-de-erros-inteligente.js","JS","Polícia Militar","","Raciocínio Lógico-Matemático","260","2","258","1","1","0","200","58","0","0","0","0","260","0","0"
"src/data/apostilas/pmma-revisao-de-vespera.js","JS","Polícia Militar","","Raciocínio Lógico-Matemático","260","4","256","1","3","0","200","56","0","0","0","0","260","0","0"
"src/data/apostilas/pmma-simulado-final-completo.js","JS","Polícia Militar","","Língua Portuguesa","260","2","258","1","1","0","200","58","0","0","0","0","260","0","0"
"src/data/apostilas/portugues-avancado.js","JS","OAB","","Ética Profissional","260","46","214","23","23","0","40","174","0","0","0","0","260","0","0"
"src/data/apostilas/portugues-pmma-interpretacao.js","JS","OAB","","Ética Profissional","280","40","240","20","20","0","240","0","0","0","0","0","280","0","0"
"src/data/apostilas/portugues-pmma-ortografia-morfologia.js","JS","OAB","","Ética Profissional","280","40","240","20","20","0","240","0","0","0","0","0","280","0","0"
"src/data/apostilas/portugues-pmma-sintaxe.js","JS","OAB","","Ética Profissional","280","40","240","20","20","0","240","0","0","0","0","0","280","0","0"
"src/data/apostilas/quimica-enem.js","JS","ENEM","","","260","22","238","11","11","0","180","58","0","0","0","0","260","0","0"
"src/data/apostilas/raciocinio-logico.js","JS","OAB","","Ética Profissional","280","40","240","20","20","0","240","0","0","0","0","0","280","0","0"
"src/data/apostilas/redacao-concursos-policiais.js","JS","OAB","","Direito Constitucional","260","40","220","20","20","0","40","180","0","0","0","0","260","0","0"
"src/data/apostilas/redacao-enem.js","JS","ENEM","","Redação","260","22","238","11","11","0","180","58","0","0","0","0","260","0","0"
"src/data/apostilas/redacao.js","JS","OAB","","Ética Profissional","280","40","240","20","20","0","240","0","0","0","0","0","280","0","0"
"src/data/apostilas/revisao-24h-prova.js","JS","OAB","","Ética Profissional","260","42","218","21","21","0","160","58","0","0","0","260","260","260","0"
"src/data/apostilas/revisao-7-dias-prova.js","JS","OAB","","Ética Profissional","260","42","218","21","21","0","160","58","0","0","0","260","260","260","0"
"src/data/apostilas/revisao-enem-vespera.js","JS","ENEM","","Redação","260","20","240","10","10","0","180","60","0","0","0","0","260","0","0"
"src/data/apostilas/seguranca-publica-avancada-simulados.js","JS","Polícia Militar","","Direito Constitucional","260","2","258","1","1","0","200","58","0","0","0","0","260","0","260"
"src/data/apostilas/simulados-por-banca.js","JS","OAB","","Ética Profissional","260","40","220","20","20","0","160","60","0","0","0","0","260","0","0"
"src/data/apostilas/simulados-por-concurso.js","JS","OAB","","Ética Profissional","260","40","220","20","20","0","160","60","0","0","0","0","260","0","0"
"src/data/apostilas/simulados-por-nivel.js","JS","OAB","","Ética Profissional","260","44","216","21","23","0","160","56","0","0","0","0","260","0","0"
"src/data/apostilas/sociologia-enem.js","JS","ENEM","","","260","20","240","10","10","0","180","60","0","0","0","0","260","0","0"
"src/data/apostilas/taf.js","JS","OAB","","Ética Profissional","280","40","240","20","20","0","240","0","0","0","0","0","280","0","0"
"src/data/mockQuestoes.js","JS","Tribunais","","Direito Constitucional","30","30","0","5","25","0","0","0","0","0","30","0","0","0","0"
"src/data/mockSimulados.js","JS","PRF","","Direito Constitucional","36","36","0","12","24","0","0","0","0","0","36","0","36","0","0"
"storage/content/concursos-militares/pci/test-preview.json","JSON","Polícia Civil","concursos-militares","Raciocínio Lógico-Matemático","2","2","0","2","0","0","0","0","0","0","0","0","0","0","2"
"storage/content/fgv-local/fgv-local-report.json","JSON","Polícia Militar","fgv-local","Direito Constitucional","16","3","13","3","0","13","0","0","0","0","0","16","0","0","16"
"storage/content/militar/pcam-delegado-2021-fgv/questoes/questoes-extraidas.json","JSON","Polícia Civil","militar","Direito Constitucional","94","94","0","94","0","0","0","0","0","0","0","94","0","94","94"
"storage/content/militar/pm-ba-soldado-2023-fcc/questoes/questoes-extraidas.json","JSON","Polícia Militar","militar","Direito Administrativo","16","16","0","16","0","0","0","0","0","0","0","0","0","16","16"
"storage/content/militar/pmac-oficial-combatente-2023-fgv/questoes/questoes-extraidas.json","JSON","Polícia Militar","militar","Língua Portuguesa","55","55","0","55","0","0","0","0","0","0","0","55","0","55","55"
"storage/content/militar/pmce-soldado-2021-fgv/questoes/questoes-extraidas.json","JSON","Polícia Militar","militar","Língua Portuguesa","78","78","0","78","0","0","0","0","0","0","0","78","0","78","78"
"storage/content/militar/pmerj-cfo-2021-fgv/questoes/questoes-extraidas.json","JSON","Polícia Militar","militar","Direito Constitucional","67","67","0","67","0","0","0","0","0","0","0","67","0","67","67"
"storage/content/militar/pmpi-soldado-pm-2017-nucepe-uespi/questoes/questoes-extraidas.json","JSON","Polícia Militar","militar","Língua Portuguesa","49","49","0","49","0","0","0","0","0","0","0","0","0","49","49"
"storage/content/militar/pmsp-soldado-2017-vunesp/questoes/questoes-extraidas.json","JSON","Polícia Militar","militar","Língua Portuguesa","42","42","0","42","0","0","0","0","0","0","0","0","0","42","42"
"storage/content/militar/pmto-quadro-de-pracas-da-policia-militar-2025-fgv/questoes/questoes-extraidas.json","JSON","Polícia Militar","militar","Ética Profissional","39","39","0","39","0","0","0","0","0","0","0","39","0","39","39"
"src/data/apostilas/administracao-financeira-orcamentaria.js","JS","Tribunais","","Direito Administrativo","260","0","260","0","0","0","200","60","0","0","0","0","260","0","0"
"src/data/apostilas/administracao-publica-gestao-publica.js","JS","Tribunais","","Direito Administrativo","260","0","260","0","0","0","200","60","0","0","0","0","260","0","260"
"src/data/apostilas/arquivologia.js","JS","Tribunais","","Direito Administrativo","260","0","260","0","0","0","200","60","0","0","0","0","260","0","0"
"src/data/apostilas/atendimento-publico-qualidade-servico-publico.js","JS","Tribunais","","Direito Administrativo","260","0","260","0","0","0","200","60","0","0","0","0","260","0","260"
"src/data/apostilas/ctb-codigo-transito-brasileiro.js","JS","Polícia Civil","","Direito Constitucional","220","0","220","0","0","0","220","0","0","0","0","0","220","0","0"
"src/data/apostilas/ctb-simulados-comentados.js","JS","Polícia Militar","","Direito Administrativo","260","0","260","0","0","0","200","60","0","0","0","0","260","0","0"
"src/data/apostilas/direito-penal-militar-avancado.js","JS","Corpo de Bombeiros","","Direito Penal","260","0","260","0","0","0","200","60","0","0","0","0","260","0","0"
"src/data/apostilas/direito-penal-parte-especial-avancado.js","JS","OAB","","Direito Penal","260","0","260","0","0","0","200","60","0","0","0","0","260","0","0"
