"path","fileClass","contentType","isPedagogicalContent","extractionStatus","objectiveCanonical","institution","contestCanonical","position","banca","year","disciplineCanonical","subjectCanonical","interfaceConnection","hash","size","classificationConfidence","classificationEvidence"
"src/components/ui/alert.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","","","","unknown","45011893709512d7c3ac898417dd87bc7e1d16036b23ad9fd8d4959b8cb647b8","1842","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/components/ui/animated-list.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","","","","unknown","7e7e2e6e811384c1d684b9f9397940c05cae1f3fe07db5ba63aaaee496bb9bc6","1624","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/components/ui/AnimatedTabs.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","","","","unknown","031050944d00c61617c7185cc837eea36b7bab064892109b12576f8e25896e09","2378","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/components/ui/button.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","","","","unknown","04f3836d6f57be0ad357f815bc831da19960f5190b2409c993605fe4468d4517","3289","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/components/ui/card.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","","","","unknown","7ca136e75388ab7293023be40f5de2ce125fb76b67704586c10c02ac9834d3ec","2379","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/components/ui/checkbox.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","","","","unknown","de8c00b30f6d308fa0b193a2898a784110e86b0d96989e1d10b57c4a95debf53","1283","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/components/ui/dialog.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","","","","unknown","7254cb6ecb5f986630307f5159f110b0773ac274c16a6121d0aeb969cf764b4d","3528","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/components/ui/input.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","","","","unknown","1992a79c43a605c8edf4675078f057eb61651d50cb99cd509149ebf1718b1bc4","908","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/components/ui/iphone.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","2000","","","unknown","dec4a6e33c89e89d27a34348e186a9269213bcf860e6982e89d2e83fb38f2e7f","5423","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/components/ui/label.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","","","","unknown","9dbdd19945bff342e39f253c048486fddd1f8517c3b76a6e69912b4fd9d75a23","522","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/components/ui/separator.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","","","","unknown","2fc30c6dc53e5b3a75330014012b162ffb24236d307ecab85f7e0d4dcb70767d","542","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/components/ui/shimmer-button.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","","","","unknown","18173b686ce63f0a902f19a98c20e26ef92c79b04398c497ef3c15a86ffdc669","2138","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/components/ui/tabs.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","","","","unknown","88aca00f962ba559cbbf7360fc11ac7108ad0be4e2c4fabdaaf2524a1052c929","3301","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/config/features.js","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","","","","unknown","0b0226da04ce97ef92c07dfab0622a3a4a59c74a16afa73a86e8825ac22a730a","38","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
"src/contexts/AppProviders.jsx","source-code","arquivo técnico","false","leitura bem-sucedida","","","","","","","","","unknown","c9b69fa12f043d1e3ca5de596b93e07dabafd5d7d1113911d1e949030779ac8a","491","média","source-code; arquivo técnico; sem evidência confiável; sem disciplina confiável"
