"fonte","total","validos","unicos","duplicados","objetivo","disciplina","statusContrato","acao"
"src/data/apostilas/direitos-humanos.js","70","20","70","0","","Direitos Humanos","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/eca-avancado.js","130","30","112","0","","","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/eca.js","60","20","60","0","","","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/etica-profissional-oab.js","60","20","60","0","","","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/etica.js","70","20","70","0","","","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/filosofia-direito.js","60","20","60","0","","Filosofia","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/filosofia-enem.js","100","10","82","0","","Filosofia","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/fisica-enem.js","100","10","82","0","","Física","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/flashcards-premium-disciplina.js","100","22","82","0","","","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/geografia-enem.js","100","10","82","0","","Geografia","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/gestao-pessoas-servico-publico.js","60","0","33","0","","","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/governanca-integridade-compliance-publico.js","60","0","33","0","","","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/guarda-municipal-base-de-estudos.js","70","0","43","0","","","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/historia-enem.js","100","10","82","0","","História","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/informatica-avancada.js","130","20","94","0","","Informática","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/informatica.js","70","20","70","0","","Informática","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/legislacao-institucional-pmma-avancada.js","44","0","44","0","","Legislação Institucional PMMA","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/legislacao-institucional-pmma-simulados-comentados.js","70","0","43","0","","Legislação Institucional PMMA","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/legislacao-institucional-pmma.js","70","20","70","0","","Legislação Institucional PMMA","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/legislacao-penal-especial-avancada.js","70","0","43","0","","Direito Penal","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/legislacao-penal-especial.js","70","20","70","0","","Direito Penal","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/legislacao-pmma-questoes-por-artigo.js","70","0","43","0","","Legislação Institucional PMMA","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/licitacoes-contratos-modulo-exclusivo.js","60","0","33","0","","Direito Administrativo","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/linguagens-enem.js","100","10","82","0","","","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/mapas-mentais-textuais-disciplina.js","100","20","82","0","","","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/matematica-basica.js","70","20","70","0","","Raciocínio Lógico-Matemático","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/matematica-enem.js","100","11","82","0","","Raciocínio Lógico-Matemático","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/matematica-raciocinio-logico-avancado.js","130","24","94","0","","Raciocínio Lógico-Matemático","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/oab-1fase-direito-administrativo.js","80","20","62","0","","Direito Administrativo","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/oab-1fase-direito-civil.js","80","20","62","0","","Direito Civil","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/oab-1fase-direito-constitucional.js","80","20","62","0","","Direito Constitucional","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/oab-1fase-direito-penal.js","80","20","62","0","","Direito Penal","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/oab-1fase-etica-comentada.js","80","20","62","0","","","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/oab-1fase-processo-civil.js","80","20","62","0","","Direito Processual Civil","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/oab-1fase-processo-penal.js","80","20","62","0","","Direito Processual Penal","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/oab-1fase-simulado-completo.js","80","20","62","0","","","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
"src/data/apostilas/oab-1fase-trabalho-processo-trabalho.js","80","20","62","0","","","nao oficial ate contrato definitivo","revalidar por contrato de questao valida"
