"caminho","tipo","objetivo","disciplina","assunto","onda","mvp","acao","prioridade"
"storage/content/oab/33-exame/provas/caderno-de-provas-direito-administrativo-16ekz3.pdf","prova PDF","OAB","Direito Administrativo","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/33-exame/provas/caderno-de-provas-direito-constitucional-15tzce.pdf","prova PDF","OAB","Direito Constitucional","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/33-exame/provas/caderno-de-provas-direito-empresarial-1kpmni.pdf","prova PDF","OAB","Direito Empresarial","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/33-exame/provas/caderno-de-provas-direito-penal-1w28mp.pdf","prova PDF","OAB","Direito Penal","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/33-exame/provas/caderno-de-provas-direito-tributario-i65xgw.pdf","prova PDF","OAB","Direito Tributário","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/33-exame/questoes/questoes-extraidas.json","banco de questões","OAB","Ética Profissional","33o Exame OAB - Questao 1","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/34-exame/provas/caderno-de-provas-direito-administrativo-1atduw.pdf","prova PDF","OAB","Direito Administrativo","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/34-exame/provas/caderno-de-provas-direito-constitucional-1w79jv.pdf","prova PDF","OAB","Direito Constitucional","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/34-exame/provas/caderno-de-provas-direito-empresarial-jc6r5q.pdf","prova PDF","OAB","Direito Empresarial","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/34-exame/provas/caderno-de-provas-direito-penal-vevdr9.pdf","prova PDF","OAB","Direito Penal","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/34-exame/provas/caderno-de-provas-direito-tributario-19u313.pdf","prova PDF","OAB","Direito Tributário","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/34-exame/questoes/questoes-extraidas.json","banco de questões","OAB","Ética Profissional","34o Exame OAB - Questao 1","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/35-exame/provas/caderno-de-provas-direito-administrativo-151bph.pdf","prova PDF","OAB","Direito Administrativo","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
