"fonte","formato","total","validos","unicos","duplicados","objetivo","disciplina","acao"
"src/data/apostilas/gestao-pessoas-servico-publico.js","","70","70","61","9","","","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/governanca-integridade-compliance-publico.js","","70","70","61","9","","","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/guarda-municipal-base-de-estudos.js","","70","70","61","9","","","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/historia-enem.js","","70","70","70","0","","História","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/informatica-avancada.js","","70","70","70","0","","Informática","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/informatica.js","","40","30","40","0","","Informática","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/legislacao-institucional-pmma-avancada.js","","55","44","55","0","","Legislação Institucional PMMA","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/legislacao-institucional-pmma-simulados-comentados.js","","70","70","43","27","","Legislação Institucional PMMA","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/legislacao-institucional-pmma.js","","40","30","40","0","","Legislação Institucional PMMA","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/legislacao-penal-especial-avancada.js","","70","70","43","27","","Direito Penal","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/legislacao-penal-especial.js","","40","30","40","0","","Direito Penal","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/legislacao-pmma-questoes-por-artigo.js","","70","70","61","9","","Legislação Institucional PMMA","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/licitacoes-contratos-modulo-exclusivo.js","","70","70","61","9","","Direito Administrativo","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/linguagens-enem.js","","70","70","70","0","","","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/mapas-mentais-textuais-disciplina.js","","70","70","70","0","","","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/matematica-basica.js","","40","30","40","0","","Raciocínio Lógico-Matemático","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/matematica-enem.js","","70","70","70","0","","Raciocínio Lógico-Matemático","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/matematica-raciocinio-logico-avancado.js","","70","70","70","0","","Raciocínio Lógico-Matemático","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/oab-1fase-direito-administrativo.js","","70","70","61","9","","Direito Administrativo","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/oab-1fase-direito-civil.js","","70","70","61","9","","Direito Civil","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/oab-1fase-direito-constitucional.js","","70","70","61","9","","Direito Constitucional","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/oab-1fase-direito-penal.js","","70","70","61","9","","Direito Penal","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/oab-1fase-etica-comentada.js","","70","70","61","9","","","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/oab-1fase-processo-civil.js","","70","70","61","9","","Direito Processual Civil","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/oab-1fase-processo-penal.js","","70","70","61","9","","Direito Processual Penal","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/oab-1fase-simulado-completo.js","","70","70","61","9","","","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/oab-1fase-trabalho-processo-trabalho.js","","70","70","61","9","","","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/oab-2fase-espelhos-correcao.js","","70","70","61","9","","","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/oab-2fase-pecas-praticas.js","","70","70","61","9","","","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/oab-2fase-treino-discursivas.js","","70","70","61","9","","Redação","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/ordem-publica-defesa-social-seguranca-cidada.js","","70","70","43","27","","","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/organizacao-judiciaria.js","","70","70","61","9","","","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/plano-estudo-por-objetivo.js","","70","70","70","0","","","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/pmma-caderno-de-erros-inteligente.js","","70","70","61","9","","Legislação Institucional PMMA","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/pmma-revisao-de-vespera.js","","70","70","61","9","","Legislação Institucional PMMA","deduplicar por politica, sem exclusao automatica"
"src/data/apostilas/pmma-simulado-final-completo.js","","70","70","61","9","","Legislação Institucional PMMA","deduplicar por politica, sem exclusao automatica"
